Mitgliedsnummer;Anrede;Name;Eintrittsdatum;Geburtsdatum;Spartenzugehörigkeit;E-Mail;Mitgliedsstatus
0001;Herr;Craig Talley;2016-03-31;1993-04-15;Fußball;Craig.Talley@t-online.de;Aktiv
0002;Frau;Colette Bolton;2016-12-17;1952-08-03;Handball;Colette.Bolton@gmx.de;Aktiv
0003;Herr;Brock William;1998-10-16;1982-02-09;Tischtennis;Brock.William@gmx.de;Aktiv
0004;Frau;Kaitlin Slater;2019-02-27;1950-11-01;Basketball;Kaitlin.Slater@t-online.de;Aktiv
0005;Frau;Karen Richardson;1952-07-09;1942-05-15;Handball;Karen.Richardson@t-online.de;Passiv
0006;Frau;Oprah Holman;2003-06-02;1989-08-01;Handball;Oprah.Holman@gmx.de;Aktiv
0007;Frau;Lenore Wong;1999-04-27;1977-04-26;Handball;Lenore.Wong@gmx.de;Aktiv
0008;Herr;Tad Sutton;1964-08-14;1955-02-19;Fußball;Tad.Sutton@t-online.de;Aktiv
0009;Frau;Portia Osborne;1984-05-18;1976-06-12;Fußball;Portia.Osborne@t-online.de;Aktiv
0010;Frau;Yoko Farley;1970-04-06;1945-06-28;Fußball;Yoko.Farley@gmail.com;Aktiv
0011;Frau;Yael Dillon;1999-04-12;1996-12-02;Basketball;Yael.Dillon@gmail.com;Aktiv
0012;Herr;Jonah Bush;1953-10-01;1937-07-23;Basketball;Jonah.Bush@gmail.com;Aktiv
0013;Frau;Fleur Day;2011-05-29;2013-09-17;Basketball;Fleur.Day@gmail.com;Aktiv
0014;Frau;Darryl Roach;1988-05-08;1962-09-18;Tischtennis;Darryl.Roach@gmail.com;Aktiv
0015;Frau;Yvette Marquez;1968-09-18;1963-03-21;Tischtennis;Yvette.Marquez@t-online.de;Aktiv
0016;Herr;Brenden Pace;1973-06-24;1956-01-19;Basketball;Brenden.Pace@gmail.com;Aktiv
0017;Frau;Venus Hayes;2014-09-07;2008-03-28;Tischtennis;Venus.Hayes@gmail.com;Aktiv
0018;Frau;Sarah Matthews;1995-02-09;1975-11-27;Tischtennis;Sarah.Matthews@gmail.com;Aktiv
0019;Herr;Brenden Pace;2011-01-17;1957-08-09;Tischtennis;Brenden.Pace@gmx.de;Aktiv
0020;Herr;Clark Talley;1995-12-30;1987-01-20;Basketball;Clark.Talley@gmx.de;Aktiv
0021;Frau;Idola Harper;1975-08-07;1961-04-03;Handball;Idola.Harper@gmail.com;Aktiv
0022;Frau;Patricia Myers;2006-09-16;2004-10-04;Fußball;Patricia.Myers@gmail.com;Aktiv
0023;Frau;Haviva Cotton;1978-09-13;1950-11-28;Fußball;Haviva.Cotton@t-online.de;Aktiv
0024;Herr;Clark Talley;1994-08-10;1969-02-20;Handball;Clark.Talley@gmail.com;Aktiv
0025;Herr;Channing Barker;1971-01-02;1950-07-27;Tischtennis;Channing.Barker@gmx.de;Aktiv
0026;Herr;Griffith Crosby;1996-11-21;1990-07-10;Handball;Griffith.Crosby@gmail.com;Aktiv
0027;Frau;Jaquelyn Peck;1998-12-20;1988-08-07;Handball;Jaquelyn.Peck@gmail.com;Aktiv
0028;Herr;Randall Berg;1989-08-09;1969-05-29;Handball;Randall.Berg@gmx.de;Aktiv
0029;Frau;Xerxes Molina;1988-05-08;1968-11-03;Tischtennis;Xerxes.Molina@gmail.com;Aktiv
0030;Frau;Delilah Yang;1947-01-26;1936-10-31;Fußball;Delilah.Yang@t-online.de;Aktiv
0031;Herr;Wang Mcleod;1986-02-25;1950-05-26;Fußball;Wang.Mcleod@gmail.com;Aktiv
0032;Herr;Honorato Navarro;1998-04-26;1968-09-30;Fußball;Honorato.Navarro@gmail.com;Aktiv
0033;Frau;Nelle Bridges;1959-01-04;1940-02-03;Tischtennis;Nelle.Bridges@gmx.de;Aktiv
0034;Frau;Laurel Cortez;1977-11-02;1974-08-28;Basketball;Laurel.Cortez@gmail.com;Aktiv
0035;Herr;Ross Bishop;1973-01-22;1953-06-25;Basketball;Ross.Bishop@gmail.com;Aktiv
0036;Frau;Casey Powers;1992-06-11;1978-03-26;Basketball;Casey.Powers@gmail.com;Aktiv
0037;Frau;Kiayada Jenkins;1973-05-26;1965-08-13;Tischtennis;Kiayada.Jenkins@t-online.de;Aktiv
0038;Frau;Medge Guzman;2003-07-05;1981-09-18;Basketball;Medge.Guzman@t-online.de;Aktiv
0039;Herr;Lewis Rasmussen;1995-05-10;1984-02-20;Tischtennis;Lewis.Rasmussen@gmail.com;Aktiv
0040;Frau;Libby Hart;2009-01-06;1993-02-23;Handball;Libby.Hart@t-online.de;Aktiv
0041;Frau;Jolene Mack;1982-05-07;1965-08-05;Handball;Jolene.Mack@gmail.com;Aktiv
0042;Herr;Paul Gallagher;1998-12-16;1966-05-21;Tischtennis;Paul.Gallagher@gmx.de;Aktiv
0043;Herr;Upton Hampton;2020-04-10;2013-05-09;Fußball;Upton.Hampton@gmail.com;Aktiv
0044;Herr;Nathaniel Gamble;1950-08-24;1938-08-07;Fußball;Nathaniel.Gamble@t-online.de;Aktiv
0045;Herr;Cullen Emerson;1971-01-06;1954-07-29;Fußball;Cullen.Emerson@gmx.de;Aktiv
0046;Frau;Fiona Berry;2007-05-18;1995-07-18;Tischtennis;Fiona.Berry@gmx.de;Aktiv
0047;Frau;Isabelle Conrad;1975-08-28;1968-01-29;Basketball;Isabelle.Conrad@gmail.com;Aktiv
0048;Frau;Nora Stanley;2017-12-01;1982-03-30;Basketball;Nora.Stanley@gmail.com;Aktiv
0049;Herr;Orson Simpson;1993-04-12;1991-04-25;Basketball;Orson.Simpson@gmx.de;Aktiv
0050;Frau;Tatum Diaz;1990-03-24;1975-03-30;Tischtennis;Tatum.Diaz@gmail.com;Aktiv
0051;Frau;Sloane Mayo;1997-12-15;1987-07-30;Tischtennis;Sloane.Mayo@gmail.com;Aktiv
0052;Frau;Xyla Dillard;1974-03-20;1959-07-27;Tischtennis;Xyla.Dillard@gmx.de;Aktiv
0053;Herr;Channing Barlow;2014-05-19;1958-03-10;Tischtennis;Channing.Barlow@gmail.com;Aktiv
0054;Frau;Martena Porter;1977-09-05;1965-08-18;Basketball;Martena.Porter@gmx.de;Aktiv
0055;Frau;Kalia Rice;1997-08-21;1957-04-02;Tischtennis;Kalia.Rice@gmail.com;Passiv
0056;Frau;Macey Perry;1975-04-05;1965-08-17;Tischtennis;Macey.Perry@gmail.com;Passiv
0057;Herr;Evan Mcintyre;1981-05-02;1961-02-25;Handball;Evan.Mcintyre@gmail.com;Passiv
0058;Herr;Owen Hancock;2000-12-10;1995-05-31;Tischtennis;Owen.Hancock@gmx.de;Aktiv
0059;Herr;Xenos Sanders;2002-02-22;1989-06-08;Tischtennis;Xenos.Sanders@gmail.com;Aktiv
0060;Frau;Blythe Chambers;1964-12-27;1961-10-25;Handball;Blythe.Chambers@t-online.de;Aktiv
0061;Frau;Xyla Marks;1995-07-05;1990-04-21;Tischtennis;Xyla.Marks@gmail.com;Aktiv
0062;Frau;Lacey Mcbride;2017-12-21;2013-01-08;Tischtennis;Lacey.Mcbride@gmx.de;Aktiv
0063;Herr;Octavius Hendricks;1992-02-16;1989-10-15;Basketball;Octavius.Hendricks@gmail.com;Aktiv
0064;Frau;Dai Kim;1989-02-23;1946-10-14;Tischtennis;Dai.Kim@gmail.com;Aktiv
0065;Herr;Abraham Bean;1989-12-31;1973-09-09;Fußball;Abraham.Bean@t-online.de;Aktiv
0066;Frau;Kevyn Henderson;1998-07-26;1980-11-18;Fußball;Kevyn.Henderson@gmail.com;Aktiv
0067;Frau;Kylynn Branch;2020-09-19;2015-03-20;Fußball;Kylynn.Branch@gmail.com;Aktiv
0068;Herr;Price Fitzpatrick;1990-08-02;1936-02-25;Tischtennis;Price.Fitzpatrick@t-online.de;Aktiv
0069;Frau;Yoshi Love;1966-04-24;1956-12-05;Tischtennis;Yoshi.Love@gmail.com;Aktiv
0070;Herr;Declan Newman;2018-11-27;2003-10-25;Basketball;Declan.Newman@t-online.de;Aktiv
0071;Herr;Abraham Meyers;2015-02-23;1964-12-18;Tischtennis;Abraham.Meyers@gmail.com;Aktiv
0072;Frau;Sonia Maddox;2021-04-02;2009-04-25;Basketball;Sonia.Maddox@gmail.com;Aktiv
0073;Herr;Joseph Head;1977-08-17;1972-04-27;Handball;Joseph.Head@t-online.de;Passiv
0074;Frau;Charde Francis;1952-05-27;1942-06-03;Handball;Charde.Francis@gmail.com;Passiv
0075;Frau;Margaret House;1995-05-20;1990-04-27;Handball;Margaret.House@t-online.de;Passiv
0076;Herr;Ray Sherman;1975-12-15;1965-11-24;Tischtennis;Ray.Sherman@gmail.com;Passiv
0077;Frau;Haviva White;1994-10-17;1981-12-25;Basketball;Haviva.White@gmail.com;Aktiv
0078;Herr;Norman Nichols;1975-04-27;1946-10-05;Handball;Norman.Nichols@t-online.de;Aktiv
0079;Herr;Hashim Reeves;2003-05-01;1999-12-12;Handball;Hashim.Reeves@gmail.com;Aktiv
0080;Frau;Chloe Brock;1994-05-15;1981-06-19;Tischtennis;Chloe.Brock@gmail.com;Aktiv
0081;Frau;Rina Becker;2008-02-11;1998-08-16;Basketball;Rina.Becker@gmail.com;Aktiv
0082;Herr;Duncan Brock;1974-07-16;1964-02-13;Tischtennis;Duncan.Brock@t-online.de;Aktiv
0083;Frau;Hilary Holland;1967-07-11;1955-04-11;Tischtennis;Hilary.Holland@gmail.com;Aktiv
0084;Herr;Colorado Johnson;2018-09-05;1997-07-08;Tischtennis;Colorado.Johnson@gmail.com;Aktiv
0085;Frau;Emma Hewitt;1977-07-08;1954-08-14;Basketball;Emma.Hewitt@t-online.de;Aktiv
0086;Herr;Cedric Landry;2002-01-29;1999-03-04;Tischtennis;Cedric.Landry@gmail.com;Aktiv
0087;Herr;Igor Powers;1960-01-25;1955-08-06;Tischtennis;Igor.Powers@gmail.com;Aktiv
0088;Frau;Melissa Mullins;1990-03-23;1975-12-21;Basketball;Melissa.Mullins@t-online.de;Aktiv
0089;Frau;Alea Avila;1963-05-18;1956-09-16;Handball;Alea.Avila@gmail.com;Aktiv
0090;Herr;Owen Bass;1965-09-18;1954-01-15;Handball;Owen.Bass@t-online.de;Aktiv
0091;Frau;Alexa Ellison;1982-10-24;1965-09-09;Handball;Alexa.Ellison@gmail.com;Aktiv
0092;Herr;Robert Bowen;1971-11-20;1962-09-12;Handball;Robert.Bowen@gmail.com;Aktiv
0093;Herr;Wyatt Guerrero;1986-04-05;1983-03-11;Basketball;Wyatt.Guerrero@t-online.de;Aktiv
0094;Frau;Petra Wyatt;1996-11-14;1973-10-30;Basketball;Petra.Wyatt@t-online.de;Aktiv
0095;Frau;Fredericka Day;1984-10-04;1974-06-18;Basketball;Fredericka.Day@gmail.com;Aktiv
0096;Herr;Rafael Randolph;1963-04-10;1944-10-20;Fußball;Rafael.Randolph@gmail.com;Aktiv
0097;Frau;Stacey Olson;1997-06-12;1980-03-26;Fußball;Stacey.Olson@gmail.com;Passiv
0098;Herr;Lane Kent;1974-05-22;1948-08-02;Fußball;Lane.Kent@gmail.com;Passiv
0099;Herr;Hoyt Harding;1997-10-09;1991-08-29;Fußball;Hoyt.Harding@t-online.de;Passiv
0100;Herr;Preston Guerrero;2001-09-02;1997-11-21;Fußball;Preston.Guerrero@t-online.de;Aktiv
